channel =  1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73 74 75 76 77 78 79 80 81 82 83 84
syst_unc_scale_up =  0.12818 0.02709 0.01663 0.01821 0.00217 0.11587 0.05640 0.01442 0.01561 0.01875 0.12778 0.05434 0.01564 0.00000 0.00084 0.01371 0.00241 0.02064 0.00000 0.00000 0.01529 0.28172 0.02523 0.01179 0.00416 0.01778 0.09280 0.02041 0.02310 0.00551 0.00546 0.02367 0.01270 0.02341 0.00307 0.01322 0.02879 0.02382 0.02303 0.01018 0.00901 0.01695 0.00249 0.02125 0.00793 0.00799 0.00021 0.00505 0.09098 0.01692 0.01441 0.00851 0.04274 0.02582 0.03079 0.00122 0.00514 0.01643 0.04228 0.00031 0.00100 0.00000 0.02880 0.02865 0.00563 0.00592 0.01450 0.03573 0.01161 0.00686 0.01847 0.01078 0.00207 0.01215 0.01178 0.00267 0.00499 0.00641 0.00297 0.00496 0.00225 0.00000 0.00000 0.00000

syst_unc_scale_down =   0.15108  0.03776  0.02666  0.01781  0.00217  0.15559  0.04513  0.02096  0.00861  0.03789  0.18526  0.07570  0.00995  0.00000  0.00264  0.01609  0.01307  0.01174  0.00000  0.00000  0.02401  0.36479  0.04233  0.01653  0.00569  0.01080  0.13415  0.02463  0.01531  0.00732  0.01191  0.03650  0.01868  0.03156  0.00202  0.00736  0.01613  0.01718  0.04033  0.01694  0.01185  0.02564  0.00249  0.01837  0.01075  0.01171  0.00036  0.00374  0.12888  0.02373  0.00284  0.00493  0.05741  0.02015  0.04406  0.00057  0.00627  0.02705  0.06405  0.00031  0.00117  0.00000  0.04772  0.04224  0.00905  0.01602  0.00733  0.02347  0.00770  0.00826  0.02364  0.00514  0.00142  0.01782  0.01416  0.00545  0.00348  0.00446  0.00159  0.00735  0.00313  0.00000  0.00000  0.00000

syst_unc_isr_up =  0.02586 0.00054 0.00128 0.00245 0.00696 0.02259 0.03643 0.00941 0.00147 0.05467 0.01652 0.00839 0.00916 0.00000 0.00331 0.01372 0.01942 0.00889 0.00000 0.00000 0.00212 0.06200 0.00566 0.00084 0.00031 0.00810 0.00683 0.00547 0.00280 0.00307 0.00696 0.00301 0.00088 0.00807 0.00150 0.00840 0.00686 0.02627 0.01487 0.00500 0.00619 0.01745 0.01014 0.01605 0.00232 0.00562 0.00347 0.00171 0.01955 0.01017 0.00120 0.01018 0.02927 0.02191 0.00069 0.00193 0.00466 0.02005 0.03935 0.02277 0.00287 0.00000 0.03898 0.01056 0.00100 0.00608 0.01760 0.02248 0.00654 0.00026 0.01199 0.00808 0.00565 0.00768 0.00387 0.00329 0.00132 0.00606 0.01477 0.00159 0.00034 0.00000 0.00000 0.00000

syst_unc_isr_down =   0.01902  0.00019  0.00111  0.00223  0.00757  0.01602  0.03921  0.00848  0.00130  0.05905  0.01417  0.00883  0.00993  0.00000  0.00359  0.01486  0.02106  0.00967  0.00000  0.00000  0.00191  0.05286  0.00576  0.00066  0.00030  0.00881  0.00646  0.00548  0.00296  0.00332  0.00758  0.00254  0.00074  0.00873  0.00163  0.00913  0.00743  0.02817  0.01337  0.00539  0.00560  0.01906  0.01105  0.01752  0.00211  0.00614  0.00378  0.00187  0.02097  0.00926  0.00109  0.01112  0.03136  0.02356  0.00059  0.00202  0.00492  0.02186  0.04277  0.02485  0.00313  0.00000  0.04209  0.00955  0.00089  0.00636  0.01916  0.02450  0.00713  0.00019  0.01305  0.00879  0.00617  0.00840  0.00353  0.00360  0.00144  0.00662  0.01614  0.00174  0.00036  0.00000  0.00000  0.00000

syst_unc_btag_up =  0.07235 0.00482 0.00033 0.00107 0.00239 0.06426 0.00971 0.00179 0.00046 0.01951 0.01322 0.00539 0.00184 0.00000 0.00020 0.00085 0.00083 0.00071 0.00000 0.00000 0.00052 0.32619 0.03416 0.00944 0.00336 0.00464 0.07938 0.04124 0.00762 0.00228 0.00195 0.01851 0.01922 0.00859 0.00032 0.00499 0.00641 0.11006 0.04647 0.01543 0.01376 0.00600 0.01016 0.00960 0.00238 0.00441 0.00216 0.00219 0.02035 0.00056 0.00016 0.00133 0.02713 0.01537 0.00327 0.00377 0.00674 0.00353 0.02615 0.00481 0.00028 0.00000 0.04074 0.00684 0.00268 0.02254 0.00745 0.00867 0.00249 0.00350 0.01153 0.00728 0.00545 0.00138 0.00130 0.00248 0.00020 0.00242 0.00114 0.00048 0.00050 0.00000 0.00000 0.00000

syst_unc_btag_down =   0.07996  0.00554  0.00048  0.00107  0.00245  0.07239  0.01064  0.00205  0.00055  0.02069  0.01486  0.00606  0.00206  0.00000  0.00023  0.00103  0.00116  0.00089  0.00000  0.00000  0.00059  0.32822  0.03437  0.00952  0.00337  0.00469  0.07969  0.04151  0.00769  0.00232  0.00203  0.01850  0.01939  0.00869  0.00032  0.00505  0.00641  0.10692  0.04513  0.01501  0.01326  0.00580  0.00977  0.00931  0.00224  0.00419  0.00204  0.00209  0.02075  0.00064  0.00016  0.00136  0.02804  0.01597  0.00330  0.00397  0.00701  0.00377  0.02631  0.00484  0.00031  0.00000  0.04095  0.00678  0.00266  0.02260  0.00749  0.00879  0.00249  0.00365  0.01130  0.00712  0.00527  0.00134  0.00123  0.00227  0.00026  0.00233  0.00115  0.00050  0.00054  0.00000  0.00000  0.00000

syst_unc_rate_up =  5.20077 0.41837 0.06983 0.00534 0.05156 5.26091 0.68583 0.13305 0.05553 0.82450 1.04883 0.36494 0.09589 0 0.03156 0.16247 0.20485 0.06251 0 0 0.03182 4.32612 0.44724 0.12410 0.03579 0.06108 1.05247 0.52028 0.10109 0.04060 0.03939 0.23517 0.23853 0.11112 0.00350 0.06288 0.08223 0.60720 0.23809 0.08298 0.05826 0.04597 0.04441 0.05688 0.01002 0.01348 0.01615 0.01039 0.44516 0.04135 0.00085 0.03127 0.70531 0.43323 0.04206 0.09857 0.17737 0.08581 0.31248 0.06793 0.00886 0 0.60088 0.11037 0.02813 0.30932 0.10748 0.11731 0.02883 0.09870 0.07140 0.05680 0.02326 0.01337 0.00425 0.00276 0.00886 0.01366 0.02072 0.00221 0.01163 0 0 0

syst_unc_rate_down =  5.20077 0.41837 0.06983 0.00534 0.05156 5.26091 0.68583 0.13305 0.05553 0.82450 1.04883 0.36494 0.09589 0 0.03156 0.16247 0.20485 0.06251 0 0 0.03182 4.32612 0.44724 0.12410 0.03579 0.06108 1.05247 0.52028 0.10109 0.04060 0.03939 0.23517 0.23853 0.11112 0.00350 0.06288 0.08223 0.60720 0.23809 0.08298 0.05826 0.04597 0.04441 0.05688 0.01002 0.01348 0.01615 0.01039 0.44516 0.04135 0.00085 0.03127 0.70531 0.43323 0.04206 0.09857 0.17737 0.08581 0.31248 0.06793 0.00886 0 0.60088 0.11037 0.02813 0.30932 0.10748 0.11731 0.02883 0.09870 0.07140 0.05680 0.02326 0.01337 0.00425 0.00276 0.00886 0.01366 0.02072 0.00221 0.01163 0 0 0

