channel =  1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73 74 75 76 77 78 79 80 81 82 83 84
syst_unc_scale_up =  0.32978 0.06299 0.00457 0.00000 0.00429 0.12888 0.02990 0.01304 0.00865 0.03623 0.08744 0.04176 0.02232 0.00167 0.00419 0.04518 0.01179 0.00262 0.00000 0.00171 0.00263 0.07242 0.00270 0.00566 0.00681 0.01121 0.08670 0.05295 0.00140 0.00027 0.00574 0.01562 0.00532 0.00734 0.00000 0.00060 0.00317 0.03762 0.00321 0.00285 0.00114 0.00263 0.00296 0.00102 0.00209 0.00424 0.00316 0.00115 0.00289 0.00072 0.00000 0.00000 0.00450 0.03902 0.00071 0.00219 0.00156 0.00362 0.00102 0.00036 0.00000 0.00000 0.07726 0.00082 0.00040 0.00000 0.00067 0.00259 0.00042 0.00207 0.00072 0.00025 0.00020 0.00049 0.00000 0.00042 0.00000 0.00000 0.00998 0.00000 0.00004 0.00000 0.00000 0.00000

syst_unc_scale_down =   0.23055  0.02650  0.00457  0.00000  0.00509  0.10240  0.03437  0.01625  0.01303  0.08200  0.00816  0.04176  0.01453  0.00038  0.00303  0.03076  0.00847  0.00262  0.00000  0.00108  0.00238  0.05278  0.00270  0.00648  0.00647  0.00747  0.04673  0.03518  0.00346  0.00053  0.00419  0.01093  0.00318  0.00949  0.00000  0.00036  0.00660  0.02027  0.00308  0.00111  0.00144  0.00156  0.00201  0.00073  0.00147  0.00237  0.00208  0.00088  0.00219  0.00013  0.00000  0.00000  0.00450  0.01514  0.00071  0.00142  0.00120  0.00287  0.00102  0.00068  0.00000  0.00000  0.11905  0.00186  0.00028  0.00000  0.00044  0.00506  0.00050  0.00123  0.00007  0.00020  0.00015  0.00052  0.00000  0.00019  0.00000  0.00000  0.00287  0.00000  0.00004  0.00000  0.00000  0.00000

syst_unc_isr_up =  0.85327 0.11864 0.00661 0.00000 0.00675 0.63339 0.08736 0.03363 0.00328 0.09339 0.19004 0.04909 0.03960 0.00177 0.00550 0.02260 0.05622 0.01138 0.00000 0.00352 0.03581 0.28600 0.04611 0.00671 0.00974 0.01977 0.06713 0.06831 0.01595 0.00221 0.01250 0.02442 0.02011 0.00046 0.00000 0.00371 0.01206 0.01619 0.01284 0.01516 0.00151 0.00293 0.00674 0.00260 0.00671 0.00048 0.00467 0.00354 0.01508 0.00968 0.00000 0.00000 0.03293 0.02632 0.00046 0.01551 0.00376 0.00717 0.00881 0.00650 0.00000 0.00000 0.02790 0.00438 0.00120 0.00000 0.00057 0.00650 0.00003 0.00034 0.00546 0.00245 0.00249 0.00022 0.00000 0.00052 0.00000 0.00000 0.02282 0.00000 0.00019 0.00000 0.00000 0.00000

syst_unc_isr_down =   0.87742  0.12473  0.00674  0.00000  0.00674  0.64945  0.08904  0.03502  0.00316  0.09787  0.19601  0.04956  0.04060  0.00202  0.00573  0.02395  0.05826  0.01180  0.00000  0.00360  0.03689  0.29617  0.04787  0.00687  0.01005  0.02072  0.07063  0.07142  0.01681  0.00240  0.01344  0.02502  0.02054  0.00054  0.00000  0.00377  0.01234  0.01624  0.01322  0.01548  0.00153  0.00302  0.00697  0.00270  0.00713  0.00053  0.00482  0.00370  0.01612  0.01029  0.00000  0.00000  0.03479  0.02902  0.00047  0.01686  0.00399  0.00760  0.00935  0.00672  0.00000  0.00000  0.03168  0.00456  0.00123  0.00000  0.00063  0.00673  0.00003  0.00038  0.00566  0.00265  0.00257  0.00025  0.00000  0.00059  0.00000  0.00000  0.02631  0.00000  0.00022  0.00000  0.00000  0.00000

syst_unc_btag_up =  0.06820 0.01768 0.00142 0.00000 0.00022 0.05616 0.00542 0.00228 0.00035 0.00819 0.01629 0.00198 0.00157 0.00004 0.00012 0.00240 0.00138 0.00086 0.00000 0.00001 0.00112 0.07976 0.00824 0.00259 0.00091 0.00251 0.01944 0.00897 0.00234 0.00059 0.00272 0.00780 0.00400 0.00047 0.00000 0.00073 0.00236 0.01544 0.00405 0.00314 0.00261 0.00048 0.00077 0.00017 0.00086 0.00050 0.00043 0.00092 0.00003 0.00067 0.00000 0.00000 0.00162 0.00176 0.00008 0.00151 0.00037 0.00058 0.00194 0.00007 0.00000 0.00000 0.00037 0.00063 0.00020 0.00000 0.00026 0.00028 0.00006 0.00020 0.00079 0.00049 0.00004 0.00016 0.00000 0.00028 0.00000 0.00000 0.00027 0.00000 0.00004 0.00000 0.00000 0.00000

syst_unc_btag_down =   0.07051  0.01787  0.00153  0.00000  0.00030  0.05801  0.00570  0.00237  0.00037  0.00839  0.01671  0.00219  0.00162  0.00005  0.00013  0.00238  0.00150  0.00087  0.00000  0.00002  0.00116  0.07917  0.00825  0.00255  0.00093  0.00246  0.01940  0.00891  0.00233  0.00058  0.00273  0.00773  0.00398  0.00052  0.00000  0.00074  0.00239  0.01495  0.00392  0.00308  0.00247  0.00049  0.00077  0.00017  0.00085  0.00047  0.00042  0.00086  0.00014  0.00068  0.00000  0.00000  0.00172  0.00183  0.00009  0.00153  0.00039  0.00061  0.00196  0.00008  0.00000  0.00000  0.00046  0.00062  0.00020  0.00000  0.00027  0.00029  0.00007  0.00020  0.00077  0.00049  0.00004  0.00016  0.00000  0.00027  0.00000  0.00000  0.00031  0.00000  0.00004  0.00000  0.00000  0.00000

