luminosity = 35866.211
channels = 84
sample = comb

channel =            bin1    bin2    bin3    bin4    bin5    bin6    bin7    bin8    bin9    bin10   bin11   bin12   bin13   bin14   bin15   bin16   bin17   bin18   bin19   bin20   bin21   bin22   bin23   bin24   bin25   bin26   bin27   bin28   bin29   bin30   bin31   bin32   bin33   bin34   bin35   bin36   bin37   bin38   bin39   bin40   bin41   bin42   bin43   bin44   bin45   bin46   bin47   bin48   bin49   bin50   bin51   bin52   bin53   bin54   bin55   bin56   bin57   bin58   bin59   bin60   bin61   bin62   bin63   bin64   bin65   bin66   bin67   bin68   bin69   bin70   bin71   bin72   bin73   bin74   bin75   bin76   bin77   bin78   bin79   bin80   bin81   bin82   bin83   bin84   
 syst_unc_ISR_dn =   0.017    0.017    0.021    0.028    0.018    0.019    0.023    0.025    0.013    0.024    0.015    0.028    0.014    0.017    0.035    0.032    0.014    0.025    0.041    0.010    0.004    0.016    0.018    0.035    0.014    0.075    0.015    0.039    0.053    0.028    0.013    0.005    0.027    0.062    0.028    0.063    0.029    0.012    0.008    0.025    0.043    0.042    0.042    0.010    0.017    0.038    0.028    0.028    0.053    0.034    0.040    0.038    0.032    0.058    0.054    0.025    0.024    0.019    0.045    0.038    0.063    0.040    0.032    0.035    0.045    0.051    0.039    0.057    0.077    0.003    0.036    0.083    0.053    0.048    0.047    0.059    0.008    0.021    0.077    0.009    0.058    0.130    0.016    0.050  

 syst_unc_bTag_up =  0.000    0.001    0.002    0.004    0.002    0.000    0.002    0.002    0.000    0.000    0.001    0.001    0.003    0.001    0.002    0.001    0.004    0.008    0.001    0.005    0.004    0.000    0.001    0.003    0.004    0.002    0.000    0.003    0.003    0.014    0.010    0.007    0.002    0.004    0.005    0.005    0.004    0.002    0.001    0.002    0.012    0.003    0.004    0.002    0.015    0.002    0.005    0.006    0.000    0.002    0.001    0.003    0.000    0.000    0.001    0.001    0.005    0.004    0.002    0.001    0.001    0.005    0.002    0.001    0.001    0.001    0.001    0.003    0.002    0.009    0.001    0.003    0.007    0.004    0.001    0.007    0.001    0.003    0.003    0.002    0.001    0.003    0.019    0.004  
 syst_unc_bTag_dn =  0.000    0.001    0.002    0.004    0.002    0.000    0.002    0.002    0.000    0.000    0.001    0.001    0.003    0.001    0.002    0.001    0.004    0.009    0.002    0.005    0.004    0.000    0.001    0.003    0.004    0.002    0.000    0.003    0.003    0.015    0.011    0.008    0.002    0.004    0.005    0.005    0.004    0.002    0.001    0.002    0.012    0.003    0.005    0.002    0.015    0.002    0.006    0.006    0.001    0.002    0.001    0.003    0.000    0.000    0.001    0.001    0.005    0.004    0.002    0.001    0.001    0.005    0.002    0.001    0.001    0.001    0.001    0.003    0.003    0.009    0.001    0.003    0.007    0.004    0.001    0.007    0.001    0.003    0.003    0.002    0.001    0.003    0.020    0.004  

 syst_unc_pdfUnc_up = 0.001    0.007    0.275    0.004    0.023    0.000    0.003    0.009    0.011    0.003    0.002    0.000    0.018    0.059    0.011    0.004    0.001    0.025    0.043    0.026    0.013    0.000    0.007    0.005    0.010    0.007    0.001    0.001    0.005    0.031    0.049    0.001    0.006    0.052    0.014    0.013    0.005    0.005    0.003    0.013    0.016    0.001    0.010    0.013    0.020    0.005    0.011    0.003    0.001    0.002    0.008    0.007    0.001    0.001    0.020    0.006    0.005    0.005    0.007    0.003    0.001    0.035    0.002    0.017    0.005    0.008    0.010    0.016    0.013    0.031    0.001    0.006    0.042    0.006    0.017    0.001    0.004    0.012    0.001    0.005    0.005    0.022    0.007    0.008  
 syst_unc_pdfUnc_dn = 0.002    0.004    0.315    0.020    0.021    0.002    0.003    0.011    0.005    0.005    0.003    0.001    0.016    0.124    0.028    0.004    0.004    0.037    0.028    0.038    0.005    0.000    0.010    0.005    0.003    0.031    0.003    0.000    0.003    0.041    0.187    0.004    0.005    0.033    0.016    0.003    0.010    0.005    0.006    0.004    0.021    0.005    0.015    0.013    0.002    0.005    0.014    0.040    0.002    0.001    0.011    0.016    0.001    0.001    0.008    0.009    0.003    0.018    0.001    0.008    0.004    0.000    0.001    0.054    0.004    0.008    0.028    0.032    0.011    0.020    0.001    0.036    0.035    0.005    0.017    0.006    0.012    0.011    0.024    0.009    0.005    0.050    0.002    0.008  

 syst_unc_metMag_up = 0.000    0.013    0.061    0.034    0.639    0.003    0.026    0.046    0.008    0.019    0.032    0.034    0.091    0.557    0.043    0.046    0.018    0.286    0.318    0.173    0.351    0.008    0.004    0.047    0.010    0.000    0.003    0.062    0.063    0.046    0.038    0.062    0.029    0.044    0.209    0.095    0.599    0.011    0.037    0.012    0.368    0.003    0.011    0.033    0.042    0.012    0.010    0.023    0.004    0.022    0.103    0.356    0.023    0.021    0.023    0.055    0.230    0.098    0.013    0.024    0.068    0.005    0.010    0.088    0.099    0.046    0.133    0.226    0.093    0.060    0.040    0.042    0.009    0.022    0.086    0.020    0.005    0.084    0.111    0.006    0.032    0.033    0.189    0.379  
 syst_unc_metMag_dn = 0.001    0.022    0.026    0.094    0.027    0.001    0.014    0.036    0.030    0.007    0.006    0.014    0.028    0.012    0.039    0.033    0.032    0.159    0.058    0.104    0.033    0.004    0.010    0.030    0.004    0.075    0.005    0.054    0.121    0.118    0.028    0.007    0.043    0.035    0.101    0.118    0.123    0.008    0.014    0.014    0.045    0.025    0.054    0.018    0.014    0.034    0.023    0.013    0.009    0.063    0.059    0.042    0.011    0.035    0.212    0.043    0.062    0.088    0.004    0.012    0.120    0.046    0.018    0.073    0.118    0.105    0.046    0.022    0.061    0.038    0.030    0.054    0.096    0.094    0.041    0.007    0.002    0.004    0.055    0.005    0.073    0.010    0.086    0.055  
