sample = zinv

channel                   =     bin0     bin1     bin2     bin3     bin4     bin5     bin6     bin7     bin8     bin9    bin10    bin11    bin12    bin13    bin14    bin15    bin16    bin17    bin18    bin19    bin20    bin21    bin22    bin23    bin24    bin25    bin26    bin27    bin28    bin29    bin30    bin31    bin32    bin33    bin34    bin35    bin36    bin37    bin38    bin39    bin40    bin41    bin42    bin43    bin44    bin45    bin46    bin47    bin48    bin49    bin50    bin51    bin52    bin53    bin54    bin55    bin56    bin57    bin58    bin59    bin60    bin61    bin62    bin63    bin64    bin65    bin66    bin67    bin68    bin69    bin70    bin71    bin72    bin73    bin74    bin75    bin76    bin77    bin78    bin79    bin80    bin81    bin82    bin83
syst_unc_shape_stat_up    =  0.10800  0.12600  0.21200  0.20500  0.33300  0.10800  0.12600  0.21200  0.19900  0.11800  0.12600  0.21200  0.19100  0.20300  0.20300  0.21200  0.21600  0.33300  0.36000  0.33300  0.32600  0.34700  0.34700  0.34700  0.34700  0.34700  0.34700  0.34700  0.34700  0.34700  0.34700  0.34700  0.34700  0.34700  0.38600  0.34700  0.34700  0.34700  0.34700  0.34700  0.34700  0.34700  0.34700  0.34700  0.34700  0.34700  0.34700  0.34700  0.50700  0.50700  0.50700  0.50700  0.50700  0.50700  0.50700  0.50700  0.50700  0.50700  0.50700  0.50700  0.50700  0.50700  0.50700  0.50700  0.50700  0.50700  0.50700  0.50700  0.50700  0.50700  0.50700  0.50700  0.50700  0.50700  0.50700  0.50700  0.50700  0.50700  0.50700  0.50700  1.00000  0.50700  1.00000  0.50700
syst_unc_shape_stat_dn    =  0.10800  0.12600  0.21200  0.20500  0.33300  0.10800  0.12600  0.21200  0.19900  0.11800  0.12600  0.21200  0.19100  0.20300  0.20300  0.21200  0.21600  0.33300  0.36000  0.33300  0.32600  0.34700  0.34700  0.34700  0.34700  0.34700  0.34700  0.34700  0.34700  0.34700  0.34700  0.34700  0.34700  0.34700  0.38600  0.34700  0.34700  0.34700  0.34700  0.34700  0.34700  0.34700  0.34700  0.34700  0.34700  0.34700  0.34700  0.34700  0.50700  0.50700  0.50700  0.50700  0.50700  0.50700  0.50700  0.50700  0.50700  0.50700  0.50700  0.50700  0.50700  0.50700  0.50700  0.50700  0.50700  0.50700  0.50700  0.50700  0.50700  0.50700  0.50700  0.50700  0.50700  0.50700  0.50700  0.50700  0.50700  0.50700  0.50700  0.50700  1.00000  0.50700  1.00000  0.50700
syst_unc_jeu_up           =  0.04400  0.01094  0.05423  0.09694  0.02007  0.06563  0.00674  0.00904  0.02768  0.09727  0.04933  0.00972  0.02546  0.13963  0.05905  0.07287  0.05411  0.00098  0.04163  0.11275  0.03512  0.06604  0.06528  0.01368  0.02821  0.09982  0.09616  0.10492  0.14258  0.09435  0.23060  0.04373  0.08891  0.07530  0.01898  0.06423  0.07307  0.09582  0.03554  0.05518  0.02960  0.10344  0.29182  0.00000  0.05264  0.00590  0.36478  0.07450  0.22964  0.09962  0.24848  0.08051  0.05813  0.17808  0.14807  0.15827  0.05410  0.17285  0.06540  0.70868  0.01147  0.91709  0.13951  0.98600  0.31882  0.12076  0.24957  0.32059  0.00000  0.21165  0.08871  0.22759  0.00000  0.00000  0.00000  0.00000  0.05811 0.50125  0.50125  0.00000  0.00000  0.35989  0.00000  0.00000
syst_unc_jeu_dn           =  0.04400  0.01094  0.05423  0.09694  0.02007  0.06563  0.00674  0.00904  0.02768  0.09727  0.04933  0.00972  0.02546  0.13963  0.05905  0.07287  0.05411  0.00098  0.04163  0.11275  0.03512  0.06604  0.06528  0.01368  0.02821  0.09982  0.09616  0.10492  0.14258  0.09435  0.23060  0.04373  0.08891  0.07530  0.01898  0.06423  0.07307  0.09582  0.03554  0.05518  0.02960  0.10344  0.29182  0.00000  0.05264  0.00590  0.36478  0.07450  0.22964  0.09962  0.24848  0.08051  0.05813  0.17808  0.14807  0.15827  0.05410  0.17285  0.06540  0.70868  0.01147  0.91709  0.13951  0.98600  0.31882  0.12076  0.24957  0.32059  0.00000  0.21165  0.08871  0.22759  0.00000  0.00000  0.00000  0.00000  0.05811 0.50125  0.50125  0.00000  0.00000  0.35989  0.00000  0.00000
syst_unc_meu_up           =  0.05065  0.04612  0.09033  0.10506  0.20297  0.02060  0.10629  0.12719  0.09339  0.04079  0.04302  0.07184  0.06093  0.13919  0.18406  0.03083  0.05272  0.09429  0.05448  0.04041  0.10877  0.03498  0.05393  0.16932  0.11333  0.10785  0.03586  0.12457  0.04948  0.08471  0.15406  0.05230  0.01531  0.10465  0.59174  0.17454  0.18015  0.05719  0.05997  0.17157  0.02544  0.08883  0.00000  0.35581  0.10793  0.10349  0.19312  0.11428  0.10775  0.19616  0.23517  0.18963  0.02858  0.10556  0.15756  0.21833  0.10715  0.04701  0.10835  0.14731  0.31966  0.02631  0.01967  0.27947  0.30034  0.04547  0.24265  0.17446  0.00000  0.19096  0.15926  0.00000  0.00000  0.00000  0.00000  0.00000  0.00000  0.00000  0.00000  0.00000  0.00000  0.00000  0.00000  0.00000
syst_unc_meu_dn           =  0.05065  0.04612  0.09033  0.10506  0.20297  0.02060  0.10629  0.12719  0.09339  0.04079  0.04302  0.07184  0.06093  0.13919  0.18406  0.03083  0.05272  0.09429  0.05448  0.04041  0.10877  0.03498  0.05393  0.16932  0.11333  0.10785  0.03586  0.12457  0.04948  0.08471  0.15406  0.05230  0.01531  0.10465  0.59174  0.17454  0.18015  0.05719  0.05997  0.17157  0.02544  0.08883  0.00000  0.35581  0.10793  0.10349  0.19312  0.11428  0.10775  0.19616  0.23517  0.18963  0.02858  0.10556  0.15756  0.21833  0.10715  0.04701  0.10835  0.14731  0.31966  0.02631  0.01967  0.27947  0.30034  0.04547  0.24265  0.17446  0.00000  0.19096  0.15926  0.00000  0.00000  0.00000  0.00000  0.00000  0.00000  0.00000  0.00000  0.00000  0.00000  0.00000  0.00000  0.00000
syst_unc_scale_up         =  0.00845  0.01346  0.01282  0.01896  0.02415  0.00623  0.00278  0.01469  0.03169  0.01625  0.00497  0.00883  0.02215  0.15712  0.05481  0.01893  0.02305  0.02971  0.05919  0.04192  0.03939  0.00150  0.01167  0.01778  0.04253  0.04317  0.00418  0.00037  0.01397  0.01912  0.07352  0.01631  0.02042  0.01831  0.09775  0.02798  0.04774  0.00576  0.00786  0.02041  0.02623  0.08066  0.04900  0.05006  0.03153  0.10642  0.16786  0.03155  0.03879  0.00770  0.03295  0.03808  0.01744  0.01057  0.02607  0.03678  0.01019  0.02991  0.00764  0.02403  0.04233  0.12275  0.01864  0.02742  0.00483  0.06360  0.01974  0.02241  0.04856  0.00262  0.01898  0.00484  0.05198  0.05101  0.05702  0.01315  0.10415  0.39056  0.02714  0.09468  0.00000  0.04920  0.00000  0.31305
syst_unc_scale_dn         =  0.00845  0.01346  0.01282  0.01896  0.02415  0.00623  0.00278  0.01469  0.03169  0.01625  0.00497  0.00883  0.02215  0.15712  0.05481  0.01893  0.02305  0.02971  0.05919  0.04192  0.03939  0.00150  0.01167  0.01778  0.04253  0.04317  0.00418  0.00037  0.01397  0.01912  0.07352  0.01631  0.02042  0.01831  0.09775  0.02798  0.04774  0.00576  0.00786  0.02041  0.02623  0.08066  0.04900  0.05006  0.03153  0.10642  0.16786  0.03155  0.03879  0.00770  0.03295  0.03808  0.01744  0.01057  0.02607  0.03678  0.01019  0.02991  0.00764  0.02403  0.04233  0.12275  0.01864  0.02742  0.00483  0.06360  0.01974  0.02241  0.04856  0.00262  0.01898  0.00484  0.05198  0.05101  0.05702  0.01315  0.10415  0.39056  0.02714  0.09468  0.00000  0.04920  0.00000  0.31305
syst_unc_pdf_up           =  0.00420  0.00442  0.00903  0.02122  0.02582  0.00283  0.00229  0.00629  0.00714  0.00482  0.00187  0.00935  0.01228  0.00210  0.04515  0.01238  0.01185  0.02863  0.02142  0.06720  0.02755  0.00469  0.01268  0.00350  0.02405  0.04965  0.00227  0.00979  0.01434  0.03168  0.03460  0.00096  0.01107  0.00968  0.00484  0.00206  0.03377  0.01036  0.00576  0.00440  0.00674  0.00833  0.02262  0.01868  0.01213  0.10186  0.06830  0.04597  0.00142  0.01360  0.08841  0.08882  0.01200  0.00718  0.01360  0.03676  0.01289  0.00105  0.00381  0.00631  0.05509  0.47671  0.00560  0.01638  0.01346  0.06487  0.02146  0.00352  0.02666  0.00665  0.00215  0.02503  0.01331  0.00930  0.01192  0.00729  0.01180  0.25182  0.01222  0.02878  0.00000  0.04843  0.00000  0.00149
syst_unc_pdf_dn           =  0.00420  0.00442  0.00903  0.02122  0.02582  0.00283  0.00229  0.00629  0.00714  0.00482  0.00187  0.00935  0.01228  0.00210  0.04515  0.01238  0.01185  0.02863  0.02142  0.06720  0.02755  0.00469  0.01268  0.00350  0.02405  0.04965  0.00227  0.00979  0.01434  0.03168  0.03460  0.00096  0.01107  0.00968  0.00484  0.00206  0.03377  0.01036  0.00576  0.00440  0.00674  0.00833  0.02262  0.01868  0.01213  0.10186  0.06830  0.04597  0.00142  0.01360  0.08841  0.08882  0.01200  0.00718  0.01360  0.03676  0.01289  0.00105  0.00381  0.00631  0.05509  0.47671  0.00560  0.01638  0.01346  0.06487  0.02146  0.00352  0.02666  0.00665  0.00215  0.02503  0.01331  0.00930  0.01192  0.00729  0.01180  0.25182  0.01222  0.02878  0.00000  0.04843  0.00000  0.00149
syst_unc_trig_up          =  0.00339  0.00705  0.00727  0.10669  0.06305  0.00302  0.00703  0.00740  0.10869  0.00374  0.00698  0.00712  0.11399  0.00921  0.00892  0.00744  0.11644  0.08183  0.00993  0.07052  0.06605  0.00334  0.00723  0.00739  0.09478  0.06817  0.00326  0.00705  0.00756  0.11941  0.00620  0.00740  0.00708  0.11567  0.00811  0.10313  0.07408  0.00290  0.00407  0.00666  0.09878  0.01002  0.00945  0.00996  0.02584  0.00960  0.00963  0.02749  0.00537  0.00791  0.00902  0.10384  0.00430  0.00490  0.00837  0.00752  0.00740  0.09491  0.00426  0.00688  0.00996  0.13947  0.00353  0.00407  0.00996  0.00682  0.00746  0.10026  0.00994  0.00818  0.00245  0.00570  0.03457  0.00880  0.00767  0.01122  0.00920  0.03457  0.01102  0.00980  0.00000  0.03410  0.00000  0.00916
syst_unc_trig_dn          =  0.00339  0.00705  0.00727  0.10669  0.06305  0.00302  0.00703  0.00740  0.10869  0.00374  0.00698  0.00712  0.11399  0.00921  0.00892  0.00744  0.11644  0.08183  0.00993  0.07052  0.06605  0.00334  0.00723  0.00739  0.09478  0.06817  0.00326  0.00705  0.00756  0.11941  0.00620  0.00740  0.00708  0.11567  0.00811  0.10313  0.07408  0.00290  0.00407  0.00666  0.09878  0.01002  0.00945  0.00996  0.02584  0.00960  0.00963  0.02749  0.00537  0.00791  0.00902  0.10384  0.00430  0.00490  0.00837  0.00752  0.00740  0.09491  0.00426  0.00688  0.00996  0.13947  0.00353  0.00407  0.00996  0.00682  0.00746  0.10026  0.00994  0.00818  0.00245  0.00570  0.03457  0.00880  0.00767  0.01122  0.00920  0.03457  0.01102  0.00980  0.00000  0.03410  0.00000  0.00916
syst_unc_btag_up          =  0.01072  0.01310  0.01353  0.00995  0.00999  0.01028  0.01170  0.01263  0.01136  0.01111  0.01047  0.01170  0.01164  0.04447  0.00950  0.01062  0.00993  0.01287  0.03895  0.01471  0.01085  0.02775  0.02759  0.02807  0.03188  0.02959  0.02720  0.02335  0.02705  0.03140  0.03653  0.02682  0.03315  0.03326  0.02773  0.02561  0.02943  0.04165  0.04183  0.03512  0.04435  0.04137  0.05704  0.05752  0.04373  0.03544  0.04056  0.06885  0.00968  0.00755  0.02708  0.01052  0.01262  0.00633  0.01015  0.01299  0.01225  0.00724  0.03553  0.01650  0.03889  0.02846  0.02481  0.02485  0.00949  0.01813  0.03012  0.02295  0.00494  0.02272  0.03753  0.02218  0.11477  0.04830  0.01287  0.03594  0.02382  0.23115  0.01530  0.00124  0.00000  0.03410  0.00000  0.13494
syst_unc_btag_dn          =  0.01089  0.01331  0.01374  0.01011  0.01018  0.01046  0.01189  0.01285  0.01156  0.01135  0.01067  0.01189  0.01185  0.04478  0.00968  0.01082  0.01015  0.01306  0.03909  0.01504  0.01109  0.02743  0.02733  0.02777  0.03161  0.02922  0.02694  0.02317  0.02687  0.03087  0.03608  0.02656  0.03263  0.03277  0.02782  0.02556  0.02925  0.04062  0.04070  0.03453  0.04314  0.04009  0.05643  0.05568  0.04225  0.03550  0.03981  0.06675  0.00984  0.00765  0.02727  0.01055  0.01285  0.00657  0.01028  0.01333  0.01246  0.00735  0.03516  0.01658  0.03788  0.02975  0.02457  0.02490  0.00976  0.01784  0.02993  0.02283  0.00574  0.02262  0.03733  0.02204  0.10826  0.04735  0.01268  0.03525  0.02426  0.20359  0.01578  0.00107  0.00000  0.03272  0.00000  0.12486
syst_unc_bmistag_up       =  0.02534  0.02353  0.02685  0.03089  0.03224  0.02511  0.02378  0.02674  0.02606  0.02207  0.02517  0.02657  0.02987  0.00801  0.02964  0.02359  0.02708  0.03261  0.00511  0.03055  0.02359  0.02214  0.02870  0.05056  0.03629  0.03780  0.02408  0.04591  0.02502  0.04232  0.01744  0.02617  0.02848  0.02737  0.03354  0.03263  0.04341  0.05460  0.06834  0.06798  0.05937  0.09675  0.07027  0.07328  0.09568  0.11140  0.11430  0.07572  0.01930  0.03438  0.02100  0.01137  0.02566  0.02923  0.01816  0.02179  0.01695  0.03283  0.01262  0.05286  0.01704  0.09404  0.02001  0.04741  0.03069  0.04048  0.00455  0.01343  0.00636  0.03117  0.16161  0.09791  0.00542  0.10123  0.16489  0.04601  0.00911  0.00885  0.01211  0.00849  0.00000  0.10665  0.00000  0.01223
syst_unc_bmistag_dn       =  0.02564  0.02382  0.02721  0.03133  0.03275  0.02543  0.02409  0.02715  0.02647  0.02239  0.02551  0.02694  0.03033  0.00800  0.03015  0.02395  0.02743  0.03317  0.00510  0.03106  0.02404  0.02143  0.02812  0.04882  0.03664  0.03675  0.02336  0.04396  0.02394  0.04007  0.01775  0.02522  0.02779  0.02635  0.03439  0.03176  0.04257  0.05144  0.06472  0.06401  0.05646  0.09108  0.06598  0.07403  0.08596  0.10453  0.10666  0.07351  0.01978  0.03512  0.02154  0.01168  0.02610  0.02978  0.01864  0.02229  0.01729  0.03352  0.01287  0.05349  0.01732  0.09491  0.02027  0.04840  0.03129  0.04083  0.00459  0.01384  0.00639  0.03167  0.14685  0.09890  0.00543  0.09089  0.15390  0.04657  0.00917  0.00891  0.01225  0.00920  0.00000  0.09910  0.00000  0.01234
